control_id,control_name,system_type,vendor,policy_id,clause_ids_enforced,enforcement_level,audit_frequency,hosting_region,data_classification,control_maturity,annual_cost_inr_lakhs,auto_evidence_generation
CTRL-IT-001,Okta Workforce Identity and MFA Platform,Identity Access Management,Okta Inc.,"POL-SEC-101 / POL-SEC-GOV-001","RBI-CYB-02 / RBI-DPS-05 / RBI-CYB-10",Automated,Quarterly,SaaS-US (Data Mirror: AWS ap-south-1),Confidential,Optimised,24.5,Yes
CTRL-IT-002,CyberArk Privileged Access Management,Privileged Access Management,CyberArk Software,"POL-SEC-101","RBI-CYB-10 / RBI-DPS-05",Automated,Continuous,On-Premise (DC Pune),Restricted,Optimised,55.0,Yes
CTRL-IT-003,Palo Alto NGFW and Panorama Cluster,Perimeter Firewall and Network Segmentation,Palo Alto Networks,"POL-SEC-201","RBI-CYB-07 / RBI-DPS-06",Automated,Continuous,On-Premise (Primary DC Pune + DR Mumbai),Confidential,Optimised,68.0,Yes
CTRL-IT-004,Zscaler Private Access (ZPA) and ZIA,Zero Trust Network Access and Web Proxy,Zscaler Inc.,"POL-SEC-201 / POL-INFRA-101","RBI-DPS-06 / RBI-CYB-07",Automated,Continuous,SaaS-Cloud (India PoP),Confidential,Managed,32.0,Yes
CTRL-IT-005,Tenable.io Vulnerability Management Platform,Vulnerability Scanning and Management,Tenable Inc.,"POL-SEC-401","RBI-CYB-03 / RBI-DPS-03 / RBI-CYB-06",Automated,Weekly,SaaS-US,Internal,Defined,14.5,Yes
CTRL-IT-006,Burp Suite Enterprise Edition (DAST),Dynamic Application Security Testing,PortSwigger,"POL-APP-301","RBI-DPS-03 / RBI-CYB-06",Semi-Automated,Per Release,On-Premise,Internal,Defined,8.0,No
CTRL-IT-007,Checkmarx SAST Platform,Static Application Security Testing,Checkmarx,"POL-APP-301","RBI-DPS-03 / RBI-CYB-14",Automated,Per Commit (CI/CD),SaaS-Cloud (EU — Data Anonymised),Internal,Managed,18.0,Yes
CTRL-IT-008,Microsoft Sentinel SIEM + Azure Monitor,Security Information and Event Management,Microsoft,"POL-SEC-501","RBI-CYB-04 / RBI-CYB-05 / RBI-CYB-12 / CERT-IN-01 / CERT-IN-02",Automated,Continuous,Azure India Central,Confidential,Optimised,42.0,Yes
CTRL-IT-009,CrowdStrike Falcon Insight XDR,Extended Detection and Response,CrowdStrike,"POL-SEC-301 / POL-SEC-501","RBI-CYB-12 / RBI-CYB-15",Automated,Continuous,SaaS-US (Logs: India AWS),Confidential,Managed,38.0,Yes
CTRL-IT-010,Recorded Future Threat Intelligence Platform,Cyber Threat Intelligence,Recorded Future,"POL-SEC-501","RBI-CYB-12",Automated,Continuous,SaaS-US,Internal,Defined,22.0,Yes
CTRL-IT-011,NICE Actimize AML Transaction Monitoring,AML and Fraud Transaction Monitoring,"NICE Systems","POL-COMP-202 / POL-FRAUD-101","RBI-KYC-10 / RBI-KYC-03 / RBI-PAY-01 / RBI-DPS-04",Automated,Continuous,On-Premise (DC Mumbai),Restricted,Optimised,110.0,Yes
CTRL-IT-012,LexisNexis Bridger Insight PEP and Sanctions Screening,PEP and Sanctions Screening,LexisNexis Risk Solutions,"POL-COMP-205 / POL-COMP-204","RBI-KYC-09 / RBI-KYC-04",Automated,Real-time at onboarding / nightly batch,SaaS-US (API — No PII stored),Restricted,Managed,16.0,Yes
CTRL-IT-013,Signzy Video KYC and V-CIP Platform,Video KYC and Liveness Detection,Signzy Technologies,"POL-COMP-206","RBI-KYC-07",Automated,Quarterly,SaaS-India (Mumbai),Restricted,Defined,28.0,Yes
CTRL-IT-014,Experian Hunter and Identity Verification API,KYC Identity Verification,Experian India,"POL-COMP-201","RBI-KYC-01 / RBI-KYC-02",Automated,Monthly,SaaS-India,Restricted,Optimised,19.0,Yes
CTRL-IT-015,Informatica Dynamic Data Masking,Database Masking and Tokenisation,Informatica,"POL-DAT-402","RBI-DPS-01 / RBI-CYB-08",Automated,Continuous,On-Premise,Restricted,Optimised,35.0,Yes
CTRL-IT-016,Symantec DLP Suite (Network and Endpoint),Data Loss Prevention,Broadcom,"POL-DAT-301 / POL-DAT-304","RBI-CYB-08 / RBI-DPS-01",Automated,Continuous,On-Premise,Confidential,Managed,45.0,Yes
CTRL-IT-017,OneTrust Privacy and Consent Management,Consent and Privacy Ops Platform,OneTrust LLC,"POL-DAT-306 / POL-DAT-302","DPDP-01 / DPDP-02 / DPDP-03",Automated,Quarterly,SaaS-US (India Data Residency Option),Restricted,Defined,20.0,Yes
CTRL-IT-018,Internal PII Deletion Microservice (Engineering),Automated Data Subject Erasure,Internal Engineering,"POL-DAT-305","DPDP-05",Semi-Automated,Monthly,On-Premise (Active DB Only),Restricted,Initial,3.5,No
CTRL-IT-019,AWS S3 + Glacier (ap-south-1 Mumbai),Data Archival and Long-Term Storage,Amazon Web Services,"POL-DAT-303","RBI-KYC-05 / CERT-IN-04",Automated,Continuous,AWS ap-south-1 Mumbai,Confidential,Optimised,12.0,Yes
CTRL-IT-020,AWS CloudWatch + SNS Alerting,Infrastructure Monitoring and Alerting,Amazon Web Services,"POL-DAT-307","DPDP-07 / CERT-IN-01",Automated,Continuous,AWS ap-south-1 Mumbai,Internal,Managed,4.5,Yes
CTRL-IT-021,RSA Archer GRC Platform,Governance Risk and Compliance Management,RSA Security,"POL-VEND-601 / POL-AUDIT-801 / POL-AUDIT-802","RBI-OUTSRC-01 / RBI-OUTSRC-02 / RBI-AUD-01",Semi-Automated,Bi-Annual,On-Premise,Internal,Defined,42.0,No
CTRL-IT-022,Qualys Cloud Agent (External Vendor Systems),Vendor Security Posture Assessment,Qualys Inc.,"POL-VEND-603","RBI-OUTSRC-01 / RBI-CYB-06",Semi-Automated,Quarterly,SaaS-US,Confidential,Defined,11.0,No
CTRL-IT-023,Cloudflare Data Localization Suite and WAF,Cross-border Data Routing and App Firewall,Cloudflare Inc.,"POL-VEND-604 / POL-LEND-501","RBI-OUTSRC-03 / RBI-DLEND-01",Automated,Continuous,Distributed Edge (Mumbai PoP),Confidential,Managed,26.0,Yes
CTRL-IT-024,AWS KMS Customer Managed Keys (ap-south-1),Encryption Key Management,Amazon Web Services,"POL-SEC-GOV-001 / POL-INFRA-101","RBI-DPS-06",Automated,Continuous,AWS ap-south-1 Mumbai,Restricted,Optimised,8.5,Yes
CTRL-IT-025,SWIFT Alliance Gateway and HSM,Interbank Payments Security Controls,SWIFT,"POL-TREAS-701","RBI-PAY-01 / RBI-PAY-02",Automated,Continuous,On-Premise (Secure Zone — Air-Gapped),Restricted,Optimised,62.0,Yes
CTRL-IT-026,Razorpay Payment Gateway + Fraud Engine,Payment Processing and Real-Time Fraud Detection,Razorpay,"POL-FRAUD-101 / POL-TREAS-701","RBI-PAY-01 / RBI-PAY-02 / RBI-DPS-04",Automated,Continuous,SaaS-India,Restricted,Managed,18.0,Yes
CTRL-IT-027,AWS WAF and Shield Advanced,Web Application Firewall,Amazon Web Services,"POL-LEND-501 / POL-APP-301","RBI-DLEND-01 / RBI-DPS-03",Automated,Continuous,AWS ap-south-1 Mumbai,Confidential,Managed,14.0,Yes
CTRL-IT-028,MoEngage (Customer Communication Platform),Customer Notification and Messaging,MoEngage Inc.,"POL-FRAUD-101","RBI-PAY-02",Automated,Continuous,SaaS-India,Internal,Managed,9.0,Yes
CTRL-IT-029,IBM OpenPages Audit Management,Internal Audit Workflow and Evidence Tracking,IBM,"POL-AUDIT-801 / POL-AUDIT-802","RBI-AUD-01 / RBI-AUD-02",Semi-Automated,Annual,On-Premise,Internal,Defined,22.0,No
CTRL-IT-030,Salesforce Financial Services Cloud (CRM + Grievance),Customer Relationship and Grievance Management,Salesforce,"POL-OPS-403",,"Semi-Automated",Quarterly,SaaS-US (India DC),Internal,Managed,35.0,No
CTRL-IT-031,NTP Sync Agent (NIC and NPL),Network Time Protocol Synchronisation,Internal (open-source ntpd),"POL-INFRA-101","CERT-IN-03",Automated,Continuous,On-Premise,Internal,Optimised,0.0,Yes
CTRL-IT-032,ManageEngine ServiceDesk Plus,IT Change and Patch Management Workflow,ManageEngine (Zoho),"POL-SEC-401 / POL-INFRA-101","RBI-CYB-03",Semi-Automated,Per Change,SaaS-India,Internal,Defined,6.0,No
CTRL-IT-033,Veeam Backup and Disaster Recovery,Data Backup and DR Orchestration,Veeam Software,"POL-INFRA-301","RBI-CYB-09",Automated,Continuous + Biannual Drill,On-Premise (Primary) + AWS DR,Confidential,Managed,28.0,Yes
CTRL-IT-034,CrowdStrike Falcon for Mobile (BYOD MDM),Mobile Device Management and BYOD,CrowdStrike,"POL-SEC-301 / POL-APP-201","RBI-DPS-02 / RBI-CYB-15",Automated,Continuous,SaaS-US (Logs: India),Confidential,Initial,15.0,No
CTRL-IT-035,DigiLocker API Integration,Government OVD Verification,MeitY / NIC (Government of India),"POL-COMP-201 / POL-COMP-206","RBI-KYC-01 / RBI-KYC-07",Automated,Monthly,Government Cloud (India),Restricted,Managed,2.0,Yes
