clause_id,regulation_name,regulator,year,section_ref,clause_type,verbatim_clause_text,obligation_subject,obligation_action,deadline_type,deadline_days,penalty_inr_max,domain
RBI-DPS-01,Master Direction on Digital Payment Security Controls,RBI,2021,Section 4.1,Obligation,Entities must always mask sensitive customer information such as card numbers and account numbers in all storage logs and displays. The full Primary Account Number (PAN) shall not be stored in any application logs or display screens after the transaction is complete.,Bank / Payment System Operator,Mask PAN and account numbers in all logs displays and storage,Immediate / Ongoing,0,50000000,Data Security
RBI-DPS-02,Master Direction on Digital Payment Security Controls,RBI,2021,Section 5.3,Prohibition,Mobile applications should not be designed to store any sensitive information on the device including credentials tokens session data or any PII. All sensitive processing shall be performed server-side only.,Bank / Payment App Developer,Prohibit local device storage of sensitive data in mobile apps,Immediate / Ongoing,0,50000000,Mobile Security
RBI-DPS-03,Master Direction on Digital Payment Security Controls,RBI,2021,Section 4.2,Obligation,All payment applications shall undergo security testing including Vulnerability Assessment and Penetration Testing (VAPT) at least once a year and upon every major release. Results shall be reported to the Board.,Bank / Payment App Owner,Annual VAPT for all payment applications with Board reporting,Annual,365,50000000,Application Security
RBI-DPS-04,Master Direction on Digital Payment Security Controls,RBI,2021,Section 6.1,Obligation,Banks shall implement transaction monitoring systems to detect anomalous or fraudulent payment transactions in real time. Alerts for suspicious transactions shall be generated and acted upon within defined SLAs.,Bank,Implement real-time transaction anomaly monitoring with SLA-bound alert resolution,Immediate / Ongoing,0,50000000,Fraud Controls
RBI-DPS-05,Master Direction on Digital Payment Security Controls,RBI,2021,Section 7.2,Obligation,Strong Customer Authentication (SCA) involving at least two independent factors shall be implemented for all digital payment transactions above ₹2000. Authentication factors shall include something the user knows something the user has and/or something the user is.,Bank,Enforce multi-factor authentication for payments above ₹2000,Immediate / Ongoing,0,50000000,Authentication
RBI-DPS-06,Master Direction on Digital Payment Security Controls,RBI,2021,Section 8.1,Obligation,All data in transit across public networks for digital payment transactions shall be encrypted using TLS 1.2 or higher. Use of deprecated protocols such as SSL TLS 1.0 and TLS 1.1 is strictly prohibited.,Bank / Payment System Operator,Enforce TLS 1.2+ for all payment data in transit; prohibit deprecated protocols,Immediate / Ongoing,0,50000000,Network Security
RBI-DPS-07,Master Direction on Digital Payment Security Controls,RBI,2021,Section 9.3,Obligation,Banks shall maintain an incident response mechanism for payment fraud events including defined escalation matrix communication protocols and mandatory reporting to RBI within 6 hours of a confirmed cyber-related payment fraud event.,Bank,Payment fraud incident response with 6-hour RBI reporting,6 hours from incident detection,0,50000000,Incident Response
RBI-DPS-08,Master Direction on Digital Payment Security Controls,RBI,2021,Section 10.1,Obligation,Third-party payment application providers shall be subjected to due diligence and security assessment by the bank before onboarding and at least annually thereafter. Contractual provisions shall mandate compliance with these directions.,Bank,Third-party payment vendor security due diligence before onboarding and annually,Annual,365,50000000,Vendor Risk
RBI-DPS-09,Master Direction on Digital Payment Security Controls,RBI,2021,Section 11.2,Obligation,Banks shall maintain a comprehensive inventory of all digital payment assets including hardware software APIs and third-party integrations. This inventory shall be reviewed and updated at least quarterly.,Bank,Maintain and quarterly-update digital payment asset inventory,Quarterly,90,50000000,Asset Management
RBI-DPS-10,Master Direction on Digital Payment Security Controls,RBI,2021,Section 12.1,Obligation,Customer facing digital payment channels shall display clear and prominent security advisories. Banks shall run customer awareness programs on safe digital payment practices at least twice a year.,Bank,Biannual customer awareness programs on digital payment safety,Biannual,180,10000000,Customer Awareness
RBI-KYC-01,Master Direction on Know Your Customer (KYC),RBI,2025,Section 10,Obligation,Every reporting entity shall carry out Customer Due Diligence (CDD) procedure at the time of commencement of an account-based relationship with a customer. CDD shall include identifying the customer and verifying their identity using reliable and independent source documents data or information.,Reporting Entity,Perform full CDD including identity verification at account opening,Immediate / Ongoing,0,50000000,KYC
RBI-KYC-02,Master Direction on Know Your Customer (KYC),RBI,2025,Section 11,Obligation,Reporting entities shall identify the beneficial owner for all non-individual customers including companies trusts and partnerships and shall verify the identity of the beneficial owner. For companies the beneficial owner is an individual who owns or controls more than 25% of shares or voting rights.,Reporting Entity,Identify and verify beneficial owners for all non-individual customer relationships,Immediate / Ongoing,0,50000000,KYC
RBI-KYC-03,Master Direction on Know Your Customer (KYC),RBI,2025,Section 13,Obligation,Reporting entities shall apply Enhanced Due Diligence (EDD) for higher risk categories of customers including Politically Exposed Persons Non-Resident customers high-value transaction customers and customers from high-risk jurisdictions. EDD shall include more frequent monitoring and senior management approval.,Reporting Entity,Apply Enhanced Due Diligence to high-risk customer categories,Immediate / Ongoing,0,100000000,KYC
RBI-KYC-04,Master Direction on Know Your Customer (KYC),RBI,2025,Section 16,Obligation,Reporting entities shall ensure that all accounts opened without completing full KYC (small accounts) are converted to full KYC accounts within 24 months. No further credits shall be permitted beyond the threshold if KYC is not completed within this period.,Reporting Entity,Convert small accounts to full KYC within 24 months,24 months from account opening,720,50000000,KYC
RBI-KYC-05,Master Direction on Know Your Customer (KYC),RBI,2025,Section 38,Obligation,Maintain all records relating to transactions and identification data obtained during the account opening process and during business relationships for at least 5 years after the business relationship has ended or the account has been closed. Records shall be made available to competent authorities on request.,Reporting Entity,Retain KYC and transaction records for minimum 5 years post relationship end,5 years post closure,1825,100000000,Data Retention
RBI-KYC-06,Master Direction on Know Your Customer (KYC),RBI,2025,Section 18,Obligation,Reporting entities shall carry out periodic updation of KYC records for existing customers. For high-risk customers the review shall be done every 2 years for medium-risk customers every 8 years and for low-risk customers every 10 years.,Reporting Entity,Periodic KYC updation at risk-tiered intervals (2/8/10 years),Risk-tiered cycle,730,50000000,KYC
RBI-KYC-07,Master Direction on Know Your Customer (KYC),RBI,2025,Section 18B,Permission,Regulated entities may use Video based Customer Identification Process (V-CIP) as an alternate method of KYC subject to conditions including live interaction liveness detection geo-tagging of coordinates and face match with OVD. The V-CIP shall be conducted only by trained and certified bank officials.,Reporting Entity,May conduct KYC via live video interaction with liveness detection and geo-tagging,Immediate / Ongoing,0,10000000,KYC - Digital
RBI-KYC-08,Master Direction on Know Your Customer (KYC),RBI,2025,Section 21,Obligation,Reporting entities shall file Suspicious Transaction Reports (STRs) with FIU-IND within 7 working days of concluding that a transaction is suspicious. There shall be no tipping off of the customer or any other person that a report has been filed.,Reporting Entity,File STR with FIU-IND within 7 working days of suspicion; maintain secrecy,7 working days from suspicion,10,100000000,AML
RBI-KYC-09,Master Direction on Know Your Customer (KYC),RBI,2025,Section 22,Obligation,All reporting entities shall screen customers and their beneficial owners against the UNSC Consolidated Sanctions List and domestic designated lists at the time of onboarding and on a continuous ongoing basis. Any match shall be immediately escalated to senior management and reported to FIU-IND.,Reporting Entity,Screen customers against sanctions lists at onboarding and continuously; escalate matches immediately,Immediate / Ongoing,0,100000000,Sanctions
RBI-KYC-10,Master Direction on Know Your Customer (KYC),RBI,2025,Section 35,Obligation,Regulated entities shall frame and implement a Board-approved AML/CFT Policy. The policy shall be reviewed and updated at least once a year or whenever there is a material change in regulatory requirements.,Reporting Entity,Board-approved AML/CFT policy reviewed annually or on material regulatory change,Annual,365,50000000,AML
RBI-KYC-11,Master Direction on Know Your Customer (KYC),RBI,2025,Section 40,Obligation,Reporting entities shall appoint a Principal Officer at a sufficiently senior level to be responsible for AML/CFT compliance. The Principal Officer shall be the single point of contact for FIU-IND and law enforcement agencies.,Reporting Entity,Appoint a Principal Officer for AML/CFT compliance as FIU-IND single point of contact,Immediate / Ongoing,0,50000000,AML
RBI-KYC-12,Master Direction on Know Your Customer (KYC),RBI,2025,Section 9,Obligation,Reporting entities shall not open or maintain anonymous accounts or accounts in fictitious or benami names. Any existing accounts found to be opened in fictitious names shall be immediately reported to senior management and frozen pending investigation.,Reporting Entity,Prohibit anonymous or fictitious accounts; freeze and report any identified,Immediate,0,100000000,KYC
RBI-CYB-01,Cyber Security Framework in Banks,RBI,2016,Section 2,Obligation,Banks shall put in place a board-approved Cyber Security Policy that is distinct from the existing IT Policy. The Cyber Security Policy shall articulate the strategy to protect information assets of the bank against cyber threats.,Bank,Maintain a board-approved Cyber Security Policy separate from IT Policy,Immediate / Ongoing,0,50000000,Governance
RBI-CYB-02,Cyber Security Framework in Banks,RBI,2016,Section 3,Obligation,Banks shall implement Multi-Factor Authentication (MFA) for all administrator-level and privileged user accounts accessing critical banking systems and internet banking portals. MFA shall be mandated for all customer-facing digital banking interfaces.,Bank,Implement MFA for all privileged accounts and customer-facing digital interfaces,Immediate / Ongoing,0,50000000,Authentication
RBI-CYB-03,Cyber Security Framework in Banks,RBI,2016,Section 5,Obligation,Banks shall implement a patch management process to ensure that all operating systems databases and application software are kept updated with security patches. Critical patches shall be applied within 30 days of release.,Bank,Patch management with critical patch application within 30 days,30 days per critical patch,30,50000000,Vulnerability Management
RBI-CYB-04,Cyber Security Framework in Banks,RBI,2016,Section 6,Obligation,Banks shall operationalise a Security Operations Centre (SOC) to monitor and manage cyber risks in real time. The SOC shall be staffed 24 hours a day 7 days a week and shall cover all critical banking infrastructure.,Bank,Operationalise a 24x7 SOC covering all critical infrastructure,Immediate / Ongoing,0,100000000,SOC
RBI-CYB-05,Cyber Security Framework in Banks,RBI,2016,Section 7,Obligation,Banks shall maintain a SIEM (Security Incident and Event Management) system to aggregate and correlate security logs from all critical systems. Logs shall be retained for a minimum of 180 days in online storage and for 1 year in archival storage.,Bank,Deploy SIEM with 180-day online and 1-year archival log retention,Immediate / Ongoing,0,50000000,Log Management
RBI-CYB-06,Cyber Security Framework in Banks,RBI,2016,Section 8,Obligation,Banks shall undertake a cyber risk assessment exercise at least annually and shall engage an independent third party to conduct penetration testing of their internet-facing systems at least once in two years.,Bank,Annual cyber risk assessment; biennial third-party penetration testing of internet-facing systems,Annual / Biennial,365,50000000,Risk Assessment
RBI-CYB-07,Cyber Security Framework in Banks,RBI,2016,Section 10,Obligation,Banks shall ensure network segregation between customer-facing networks internal networks and critical banking system networks. Network zones shall be defined and access between zones shall be controlled through firewalls and access control lists.,Bank,Implement network segregation with firewall-controlled zones for customer internal and critical networks,Immediate / Ongoing,0,50000000,Network Security
RBI-CYB-08,Cyber Security Framework in Banks,RBI,2016,Section 11,Obligation,Banks shall implement a Data Leak Prevention (DLP) solution to identify and prevent unauthorised transmission of confidential data such as customer PII credit card data and account information outside the bank's network.,Bank,Implement DLP to prevent unauthorised transmission of customer PII and financial data,Immediate / Ongoing,0,50000000,Data Loss Prevention
RBI-CYB-09,Cyber Security Framework in Banks,RBI,2016,Section 14,Obligation,Banks shall maintain an up-to-date Business Continuity Plan (BCP) and Disaster Recovery (DR) plan. DR drills shall be conducted at least twice a year. The Maximum Tolerable Downtime (MTD) for critical banking systems shall not exceed 2 hours.,Bank,Maintain BCP/DR with biannual drills; MTD for critical systems ≤2 hours,Biannual drills,180,100000000,Business Continuity
RBI-CYB-10,Cyber Security Framework in Banks,RBI,2016,Section 15,Obligation,Banks shall implement privileged access management (PAM) controls. All privileged access sessions shall be recorded and stored for a minimum of 90 days. Privileged accounts shall not have permanent standing access and shall use just-in-time access principles.,Bank,Implement PAM with session recording for 90 days and just-in-time privileged access,Immediate / Ongoing,0,50000000,Access Management
RBI-CYB-11,Cyber Security Framework in Banks,RBI,2016,Section 17,Obligation,Banks shall conduct cyber security awareness training for all employees at the time of joining and at least annually thereafter. Specialised training shall be given to IT staff and personnel handling sensitive data.,Bank,Annual cyber security awareness training for all staff; specialised training for IT personnel,Annual,365,10000000,Security Awareness
RBI-CYB-12,Cyber Security Framework in Banks,RBI,2016,Section 19,Obligation,Banks shall operationalise a Security Operations Centre (SOC) to monitor and manage cyber risks in real time. The SOC shall be integrated with threat intelligence feeds and shall have the capability to detect and respond to Advanced Persistent Threats (APTs).,Bank,SOC with integrated threat intelligence feeds capable of APT detection and response,Immediate / Ongoing,0,100000000,SOC / Threat Intelligence
RBI-CYB-13,Cyber Security Framework in Banks,RBI,2016,Section 22,Obligation,Banks shall report all unusual cyber security incidents including Advanced Persistent Threats ransomware attacks and data breaches to RBI within 2 to 6 hours of detection. A detailed incident report shall be submitted within 24 hours.,Bank,Report cybersecurity incidents to RBI within 2-6 hours; detailed report within 24 hours,2-6 hours from detection,0,50000000,Incident Response
RBI-CYB-14,Cyber Security Framework in Banks,RBI,2016,Section 25,Obligation,Banks shall ensure that all third-party software used in banking systems is sourced from authorised vendors and is subjected to source code review or security assessment before deployment. Open-source components shall be tracked via a Software Bill of Materials (SBOM).,Bank,Source code review and SBOM for all third-party and open-source software used in banking systems,Pre-deployment,0,50000000,Software Supply Chain
RBI-CYB-15,Cyber Security Framework in Banks,RBI,2016,Section 28,Obligation,Banks shall implement endpoint security solutions on all devices connecting to banking networks including employee laptops mobile devices and ATMs. Unmanaged or personal devices shall not be permitted to access critical banking systems.,Bank,Endpoint security on all devices; prohibit unmanaged devices on critical networks,Immediate / Ongoing,0,50000000,Endpoint Security
DPDP-01,Digital Personal Data Protection Act 2023,MeitY,Section 4,Obligation,A Data Fiduciary may process personal data of a Data Principal only in accordance with the provisions of this Act and for a lawful purpose for which the Data Principal has given consent or for certain legitimate uses specified under the Act.,Data Fiduciary,Process personal data only with valid consent or for specified legitimate uses,Immediate / Ongoing,0,500000000,Critical,POL-DAT-302
DPDP-02,Digital Personal Data Protection Act 2023,MeitY,Section 6,Obligation,The Data Fiduciary shall before seeking consent provide a notice to the Data Principal in clear and plain language specifying the personal data to be processed and the purpose of processing such personal data and the manner in which the Data Principal can exercise her rights.,Data Fiduciary,Provide clear plain-language notice specifying data to be collected and purpose before seeking consent,At or before consent collection,0,500000000,High,POL-DAT-302
DPDP-03,Digital Personal Data Protection Act 2023,MeitY,Section 6(4),Obligation,A Data Fiduciary shall give the Data Principal the option to withdraw consent at any time. The ease of withdrawal shall be comparable to the ease of giving consent. Upon withdrawal the Data Fiduciary shall cease to process the personal data of the Data Principal within a reasonable time period.,Data Fiduciary,Enable easy consent withdrawal comparable to consent giving; cease processing within reasonable time on withdrawal,Immediate / Ongoing,0,500000000,High,POL-DAT-306
DPDP-04,Digital Personal Data Protection Act 2023,MeitY,Section 8(3),Obligation,A Data Fiduciary shall maintain the accuracy and completeness of personal data that is likely to be used to make a decision affecting the Data Principal or is likely to be shared with another Data Fiduciary.,Data Fiduciary,Maintain accuracy and completeness of personal data used in decisions affecting data subjects,Immediate / Ongoing,0,500000000,High,POL-DAT-302
DPDP-05,Digital Personal Data Protection Act 2023,MeitY,Section 8(7),Obligation,A Data Fiduciary shall erase the personal data of a Data Principal on the Data Principal making a request for erasure or as soon as it is reasonable to assume that the specified purpose is no longer being served by retention of the personal data.,Data Fiduciary,Erase personal data on request or when purpose is no longer served,Upon request or purpose lapse,0,500000000,Critical,POL-DAT-305
DPDP-06,Digital Personal Data Protection Act 2023,MeitY,Section 9,Obligation,No Data Fiduciary shall process personal data of a child without verifiable parental consent. No Data Fiduciary shall undertake any processing of personal data of a child that is likely to cause any detrimental effect on the well-being of the child and shall not undertake tracking or behavioural monitoring of children.,Data Fiduciary,Obtain verifiable parental consent for child data; prohibit behavioural tracking of children,Immediate / Ongoing,0,500000000,Critical,POL-DAT-302
DPDP-07,Digital Personal Data Protection Act 2023,MeitY,Section 20,Obligation,The Data Protection Board of India shall be notified in the event of a personal data breach. The Data Fiduciary shall also notify the affected Data Principals of the breach in a manner specified by the Board.,Data Fiduciary,Notify Data Protection Board and affected data principals of any personal data breach,Within prescribed timeline from discovery,0,500000000,Critical,POL-DAT-307
DPDP-08,Digital Personal Data Protection Act 2023,MeitY,Section 17,Obligation,A Data Fiduciary shall implement appropriate technical and organisational measures to ensure effective observance of the Act. The measures shall commensurate with the volume and sensitivity of personal data processed.,Data Fiduciary,Implement technical and organisational controls proportionate to data volume and sensitivity,Immediate / Ongoing,0,500000000,High,POL-DAT-304
CERT-IN-01,CERT-In Directions on Cybersecurity Incident Reporting,CERT-In,2022,Direction 1,Obligation,All entities including banks financial institutions and intermediaries shall report cyber incidents to CERT-In within 6 hours of noticing such incidents or being brought to notice about such incidents regardless of whether the incident involves compromise of data or not.,Covered Entity,Report all cyber incidents to CERT-In within 6 hours of detection,6 hours from detection,0,2000000,Incident Reporting
CERT-IN-02,CERT-In Directions on Cybersecurity Incident Reporting,CERT-In,2022,Direction 3,Obligation,Organisations shall mandatorily enable logs of all ICT systems and maintain them securely for a rolling period of 180 days within India. These logs shall be provided to CERT-In along with reporting of any incident or when demanded by CERT-In.,Covered Entity,Enable and retain all ICT system logs for 180 days within India; provide on CERT-In demand,Immediate / Ongoing,0,2000000,Log Retention
CERT-IN-03,CERT-In Directions on Cybersecurity Incident Reporting,CERT-In,2022,Direction 4,Obligation,The ICT infrastructure of entities shall be synchronised with the Network Time Protocol (NTP) servers of National Informatics Centre (NIC) or National Physical Laboratory (NPL) or with NTP servers traceable to these organisations.,Covered Entity,Synchronise all ICT infrastructure with NIC or NPL NTP servers,Immediate / Ongoing,0,2000000,Time Synchronisation
CERT-IN-04,CERT-In Directions on Cybersecurity Incident Reporting,CERT-In,2022,Direction 5,Obligation,Virtual Private Server providers Virtual Private Network service providers Cloud service providers and Virtual Asset Service Providers shall maintain accurate data of subscribers and customers including names addresses contact numbers email addresses IP addresses time stamps and purpose for which they have been hired for a period of 5 years.,Service Provider,Maintain detailed subscriber records including IPs and timestamps for 5 years,5 years,1825,2000000,Subscriber Data Retention
RBI-OUTSRC-01,Master Direction on Outsourcing of IT Services,RBI,2023,Section 9,Obligation,Banks shall ensure that all contracts with IT service providers include a provision enabling the bank the RBI and other regulators to conduct audits or inspections of the service provider including its sub-contractors and agents.,Bank,All IT vendor contracts must include regulatory audit rights for RBI and the bank,Pre-contract,0,50000000,Vendor Contracts
RBI-OUTSRC-02,Master Direction on Outsourcing of IT Services,RBI,2023,Section 10,Obligation,Banks shall maintain a comprehensive register of all outsourced IT activities including the name and location of the service provider the nature of outsourced activity and a criticality assessment. This register shall be reviewed and updated at least annually.,Bank,Maintain comprehensive IT outsourcing register reviewed annually,Annual,365,50000000,Vendor Register
RBI-OUTSRC-03,Master Direction on Outsourcing of IT Services,RBI,2023,Section 14,Obligation,Banks shall ensure that any material outsourcing arrangement involving data storage or processing of customer data with a vendor located outside India includes specific contractual provisions ensuring that Indian customer data can be accessed by Indian regulators and that the bank can exit the arrangement within a defined period.,Bank,Material overseas outsourcing must include regulator access rights and exit provisions for Indian customer data,Pre-contract,0,50000000,Cross-border Outsourcing
RBI-OUTSRC-04,Master Direction on Outsourcing of IT Services,RBI,2023,Section 16,Obligation,Banks shall have a Board-approved IT outsourcing policy covering risk assessment framework performance monitoring exit strategy and concentration risk management. The policy shall be reviewed at least once every 3 years or upon material regulatory changes.,Bank,Board-approved IT outsourcing policy covering risk exit and concentration reviewed every 3 years,Every 3 years,1095,50000000,Vendor Governance
RBI-OUTSRC-05,Master Direction on Outsourcing of IT Services,RBI,2023,Section 21,Obligation,In the event of termination of an outsourcing arrangement banks shall ensure an orderly transition of services with a minimum notice period of 3 months and the service provider shall return or destroy all bank and customer data in a verifiable and certified manner.,Bank,3-month minimum notice for IT outsourcing exit; certified data return or destruction by vendor,3 months notice minimum,90,50000000,Vendor Exit
RBI-DLEND-01,Guidelines on Digital Lending,RBI,2022,Para 5,Obligation,All loan disbursals and repayments in the context of digital lending shall be executed only between the bank accounts of the borrower and Regulated Entities without any pass-through or pool account of the Lending Service Provider.,Regulated Entity / Bank,Disburse and collect loan payments directly between borrower and RE accounts; no LSP pass-through,Immediate / Ongoing,0,50000000,Digital Lending - Payments
RBI-DLEND-02,Guidelines on Digital Lending,RBI,2022,Para 10,Obligation,A Key Fact Statement (KFS) shall be provided to the borrower before execution of the loan contract. The KFS shall include the Annual Percentage Rate (APR) computed on the basis of an all-inclusive cost including fees charges and insurance premiums expressed as an annualised rate.,Regulated Entity / LSP,Provide KFS with full APR before loan execution,Before loan contract signing,0,50000000,Digital Lending - Disclosure
RBI-DLEND-03,Guidelines on Digital Lending,RBI,2022,Para 22,Obligation,Regulated Entities shall ensure that any Lending Service Provider (LSP) engaged by them does not store personal data of borrowers except for limited transactional data required for business purposes. All such data sharing agreements must be reflected in the LSP contract.,Regulated Entity,Prohibit LSP from storing borrower personal data beyond minimal transactional data,Immediate / Ongoing,0,50000000,Digital Lending - Data
RBI-DLEND-04,Guidelines on Digital Lending,RBI,2022,Para 28,Obligation,Regulated Entities shall publish on their website a list of all Lending Service Providers with whom they have a business arrangement. This list shall be updated within 30 days of any change in the arrangement.,Regulated Entity,Publish and maintain updated LSP list on website with 30-day update window,Within 30 days of change,30,10000000,Digital Lending - Disclosure
RBI-DLEND-05,Guidelines on Digital Lending,RBI,2022,Para 35,Obligation,Digital lending apps shall not access mobile phone resources such as files and media contacts call logs telephony functions and multiple bank account access without the explicit consent of the borrower. This consent shall be purpose-specific and shall not be bundled.,Regulated Entity / App Developer,Prohibit mobile lending apps from accessing device resources (contacts calls storage) without explicit purpose-specific consent,Immediate / Ongoing,0,50000000,Mobile App Permissions
RBI-PAY-01,Payment and Settlement Systems Regulation,RBI,2021,Section 3.1,Obligation,Payment System Operators and participant banks shall implement a robust fraud monitoring system to detect and prevent payment frauds. All payment frauds above ₹1 crore shall be reported to RBI within 2 weeks of detection along with details of the modus operandi.,PSO / Bank,Report payment frauds above ₹1 crore to RBI within 2 weeks; implement fraud monitoring,Within 2 weeks of detection,14,100000000,Payment Fraud
RBI-PAY-02,Payment and Settlement Systems Regulation,RBI,2021,Section 4.2,Obligation,Banks and PSOs shall implement risk-based transaction limits for UPI NEFT RTGS and IMPS transfers. Real-time velocity checks shall be applied to detect and halt unusual transaction patterns. Customers shall be notified via SMS or email for all transactions above ₹5000.,PSO / Bank,Implement real-time velocity checks and customer notifications for transactions above ₹5000,Immediate / Ongoing,0,50000000,Payment Controls
RBI-AUD-01,RBI Internal Audit Framework Circular,RBI,2023,Section 5,Obligation,Banks shall have a Risk-Based Internal Audit (RBIA) system that covers all business units risk areas and outsourced activities. The audit plan shall be based on a formal risk assessment methodology and shall be reviewed and approved by the Audit Committee of the Board annually.,Bank,Risk-Based Internal Audit covering all units with Board Audit Committee approval annually,Annual,365,50000000,Internal Audit
RBI-AUD-02,RBI Internal Audit Framework Circular,RBI,2023,Section 8,Obligation,The Internal Audit function shall have a direct reporting relationship to the Audit Committee of the Board. The Chief Internal Auditor shall have unfettered access to all records personnel and systems of the bank. Any impediments to audit access shall be immediately escalated to the Audit Committee.,Bank,Internal audit must have direct Board Audit Committee reporting and unfettered access to all bank systems,Immediate / Ongoing,0,50000000,Audit Independence
